Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
1,CA-2022-152156,8/11/2022,11/11/2022,Second Class,CG-12520,Consumer,42420,FUR-BO-10001798,261,2,41,96
2,CA-2022-152156,8/11/2022,11/11/2022,Second Class,CG-12520,Consumer,42420,FUR-CH-10000454,731,3,219,94
3,CA-2022-138688,12/6/2022,16/06/2022,Second Class,DV-13045,Corporate,90036,OFF-LA-10000240,14,2,6,62
4,US-2021-108966,11/10/2021,18/10/2021,Standard Class,SO-20335,Consumer,33311,FUR-TA-10000577,957,5,,5775
5,US-2021-108966,11/10/2021,18/10/2021,Standard Class,SO-20335,Consumer,33311,OFF-ST-10000760,22,2,,368
6,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,FUR-FU-10001487,48,7,14,86
7,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,OFF-AR-10002833,7,4,1,28
8,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002275,907,6,,152
9,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,OFF-BI-10003910,18,3,,504
10,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,OFF-AP-10002892,114,5,34,9
11,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,FUR-TA-10001539,1706,9,,184
12,CA-2020-115812,9/6/2020,14/06/2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002033,911,4,,424
13,CA-2023-114412,15/04/2023,20/04/2023,Standard Class,AA-10480,Consumer,28027,OFF-PA-10002365,15,3,,552
14,CA-2022-161389,5/12/2022,10/12/2022,Standard Class,IM-15070,Consumer,98103,OFF-BI-10003656,407,3,,976
15,US-2021-118983,22/11/2021,26/11/2021,Standard Class,HP-14815,Home Office,76106,OFF-AP-10002311,68,5,,81
16,US-2021-118983,22/11/2021,26/11/2021,Standard Class,HP-14815,Home Office,76106,OFF-BI-10000756,2,3,,544
17,CA-2020-105893,11/11/2020,18/11/2020,Standard Class,PK-19075,Consumer,53711,OFF-ST-10004186,665,6,13,88
18,CA-2020-167164,13/05/2020,15/05/2020,Second Class,AG-10270,Consumer,84084,OFF-ST-10000107,55,2,9,5
19,CA-2020-143336,27/08/2020,1/9/2020,Second Class,ZD-21925,Consumer,94109,OFF-AR-10003056,8,2,2,56
